m1-rescan-value	crates/sigil-frontend-as/src/eval.rs	as_string_concat	a_string_value_is_not_scanned_again_for_interpolation
m2-no-literal-fold	crates/sigil-frontend-as/src/eval.rs	as_string_concat	an_interpolation_is_folded_where_its_literal_is
m3-set-binds-call-string	crates/sigil-frontend-as/src/eval.rs	as_string_concat	a_function_result_bound_by_equ_keeps_its_integer_reading
m4-set-binds-unfolded-call	crates/sigil-frontend-as/src/eval.rs	as_string_concat	a_string_valued_function_bound_by_set_is_never_silently_wrong
m5-interp-probe-unexpanded	crates/sigil-frontend-as/src/eval.rs	as_string_concat	a_string_valued_function_pastes_its_string_into_an_interpolation
m6a-lexer-closes-at-inner-quote	crates/sigil-frontend-as/src/escape.rs	as_string_concat	a_quote_inside_an_interpolation_belongs_to_it
m6b-interp-ends-at-first-brace	crates/sigil-frontend-as/src/escape.rs	as_string_concat	a_quote_inside_an_interpolation_belongs_to_it
m7-paste-spelling	crates/sigil-frontend-as/src/eval.rs	as_string_concat	a_pasted_argument_is_its_decimal_value
m8-word-has-underscore-dot	crates/sigil-frontend-as/src/eval.rs	as_string_concat	a_parameter_word_is_letters_and_digits_only
m9-no-pasted-arg-check	crates/sigil-frontend-as/src/eval.rs	as_string_concat	a_string_or_float_argument_pasted_into_a_literal_is_refused
m10-fold-const-no-int-builtins	crates/sigil-frontend-as/src/eval.rs	as_string_concat	a_string_valued_function_pastes_its_string_into_an_interpolation
h1-concat-two-literals-only	crates/sigil-frontend-as/src/eval.rs	as_string_concat	a_chain_of_concatenations_folds_left_to_right
h2-concat-captures-numbers	crates/sigil-frontend-as/src/eval.rs	as_string_concat	plus_over_non_strings_stays_numeric
h3-param-only-inside-interp	crates/sigil-frontend-as/src/eval.rs	as_string_concat	a_function_parameter_reaches_inside_a_string_literal
h4-param-as-substring	crates/sigil-frontend-as/src/eval.rs	as_string_concat	a_function_parameter_reaches_inside_a_string_literal
h5-paste-unparenthesised	crates/sigil-frontend-as/src/eval.rs	as_string_concat	a_function_parameter_reaches_inside_a_string_literal
h6-interp-bare-literal-only	crates/sigil-frontend-as/src/eval.rs	as_string_concat	an_interpolation_is_folded_in_a_computed_string
h8-no-concat-at-all	crates/sigil-frontend-as/src/eval.rs	as_string_concat	sonic_1_signed_to_string_assembles
