a01_bind_read_inner	body `Inner:`; after the call `.b := 2`; read `Inner.b`
a02_bind_read_base	body `Inner:`; after the call `.b := 2`; read `Base.b`
a03_bind_read_dot	body `Inner:`; after the call `.b := 2`; read `.b` (control: same scope both sides)
a04_label_read_inner	body `Inner:`; after the call `.y:`; read `Inner.y`
a05_label_read_base	body `Inner:`; after the call `.y:`; read `Base.y`
a06_inner_itself	body `Inner:`; read `Inner` after the call (control: body label stays in the body)
a07_twice	macro called twice; after `.b := 2` read `Inner.b`
a08_no_base	no caller label at all; after `.b := 2` read `Inner.b`
s01_dot_before_read_after	`.x:` under Base before the call; read `.x` after
s02_dot_before_read_after_file_inner_before	file-level `Inner:`/`.x:` first; `.x:` under Base; call; read `.x` after
s03_dot_before_read_after_file_inner_after	`.x:` under Base; call; read `.x` after; file-level `Inner:`/`.x:` last
s04_dot_before_read_base_qualified	`.x:` under Base before the call; read `Base.x` after
s05_set_before_read_after	`.a := 3` under Base before the call; read `.a` after
s06_set_before_read_after_file_inner	file `Inner:` with `.a := 9`; Base `.a := 3`; call; read `.a` after
s07_defined_after	`.x:` under Base; call; `if defined(.x)` after picks a word
s08_ifdef_after	`.x:` under Base; call; `ifdef .x` after picks a word
s09_forward_ref_before_call	`bra.s .x` before the call; `.x:` defined after it
s10_forward_ref_before_call_base_x_later	`bra.s .x` before the call; `.x:` after it; then a second `Base2:`/`.x:` control
s11_redefine_after_call_file_inner	file `Inner:`/`.x:` first; Base; call; `.x:` again after the call (double definition?)
s12_redefine_after_call_base_x	`.x:` under Base; call; `.x:` again after the call
s13_two_callers_same_local	two routines, each calls mac then defines and reads `.lp` (collide as Inner.lp?)
c01_no_label_read_base	body with no label; after `.b := 2` read `Base.b`
c02_no_label_read_dot_before	body with no label; `.x:` under Base before; read `.x` after
c03_dot_label_body_read_base	body writes only `.q:`; after `.b := 2` read `Base.b`
c04_label_directive_read_inner	body `Inner label *`; after `.b := 2` read `Inner.b`
c05_set_body_read_vv	body `Vv set 5`; after `.b := 2` read `Vv.b`
c06_untaken_if_read_base	body `if 0` / `Inner:` / `endif`; after `.b := 2` read `Base.b`
c07_exitm_before_label_read_base	body `exitm` before `Inner:`; after `.b := 2` read `Base.b`
c08_taken_if_read_inner	body `if 1` / `Inner:` / `endif`; after `.b := 2` read `Inner.b`
t01_two_read_second	body `In1:` `In2:`; after `.b := 2` read `In2.b`
t02_two_read_first	body `In1:` `In2:`; after `.b := 2` read `In1.b`
t03_two_read_base	body `In1:` `In2:`; after `.b := 2` read `Base.b`
n01_inner_writes_read_inner	outer calls inner, inner writes `Inner:`; after outer `.b := 2` read `Inner.b`
n02_inner_writes_read_base	outer calls inner, inner writes `Inner:`; after outer read `Base.b`
n03_outer_writes_then_inner_plain	outer writes `Outer:` then calls a label-less inner; read `Outer.b`
n04_inner_then_outer_label_read_outer2	outer calls inner (writes `Inner:`) then writes `Outer2:`; read `Outer2.b`
